"#id","#","name Name","description Desc","subTitle Floorplan Title","subDescription Floorplan Description","rarity Rarity","tags Tags","cost Gem Cost","put what you have found in the room. preferably with no luck Random Spawn Pool","Always Spawns","Conditional Spawn","First-time Spawn","Comment","Menu Sort","Chess Pieces","","TAGS","","","","","","",""
"blu001","1","The Foundation","The cornerstone of the house, unvarying and unchanging, The Foundation is one of the only constants in the estate on which you can truly rely. This natural cavity was hollowed directly out of the mountain itself, with its stone and earth walls displaying an underlying coarseness that the rest of the mansion conceals.","","","Rare","Blueprint, Permanent, ThreeWay, RightLeft","0","","","","","","0","None","","Blueprint","","","","","","","room:blu001:The Foundation"
"blu002","2","Entrance Hall","Past the steps and beyond the grand doors, admission to Mount Holly is granted by way of a dark and garish lobby, suitably called the Entrance Hall. From here, each guest's adventure begins; however, the three doors that proceed onward do not always lead to the same adjoining rooms...","","","","Blueprint, Permanent, FourWay","0","","","","","","0","None","","Bedroom","","","","","","","room:blu002:Entrance Hall"
"blu003","3","Spare Room","An unfurnished, unfinished and otherwise unremarkable empty room. If there had at some point been plans for this spare room, it would seem those designs are now long forgotten. ","","","Commonplace","Blueprint, TwoWay, Through","0","","","","","","0","None","","Hallway","","","","","","","room:blu003:Spare Room"
"blu004","4","Rotunda","A circular chamber with a domed ceiling adorned with an array of mechanical gears. In the center of the room, a stone podium serves as a central pivot point for the chamber’s true purpose: rotation. A fitting function for a room named Rotunda, which means ""clockwise room"" in Erajan.","","","Rare","Blueprint, Polymorphic, TwoWay, Left","3","","","","","","0","None","","Green","","","","","","","room:blu004:Rotunda"
"blu005","5","Parlor","This cozy lounge furnished with couches and armchairs serves as the perfect social setting for receptions and after parties. Consequently this was one of the most popular rooms for entertaining and the late H. S. Sinclair was known to supply a myriad of parlor games to encourage his guests to think and conversate.","{PUZZLE}","","Commonplace","Blueprint, Puzzle, TwoWay, Left, ChessPiece","0","item:coinPurse","item:windUpKey","item:gem","","","0","Pawn, B","","Shop","","","","","","","room:blu005:Parlor"
"blu006","6","Billiard Room","Once a quaint space for amateur gaming, the Billiard Room has been expanded into a full-blown Pool Hall, an after-hours magnet for sharks and hustlers aiming to make a quick buck off an unsuspecting mark. A rather curious game of darts continues to provide the less competitive players a unique opportunity to ponder over its unusual rules.","{PUZZLE}","","Commonplace","Blueprint, Puzzle, TwoWay, Left","0","","","item:key, item:silverKey, item:keycard, item:secretGardenKey","","","0","None","","Red","","","","","","","room:blu006:Billiard Room"
"blu007","7","Gallery","A small chamber dedicated to the exhibition of art, ideal for showcasing smaller series and collections. Before his passing, H.S. Sinclair personally selected the artwork that was displayed here each year, purposefully omitting the composition titles to leave the interpretations of each piece for the viewers themselves to realize.","","","Rare","Blueprint, TwoWay, Through, Puzzle","0","","","item:key8","","","0","","","Blackprint","","","","","","","room:blu007:Gallery"
"blu008","8","Room 8","Unsurprisingly, Key 8 unlocked a door leading to a familiar looking room, a cryptic room that had been previewed in the final 8-letter artwork exhibited in the Gallery. It is now time to ruminate over the bins, sins and pins contained within. ","","","Rare","Blueprint, TwoWay, Right, Puzzle","0","","","","","Can't be drafted. Spawned using the Key 8. ","0","","","Addition","","","","","","","room:blu008:Room 8"
"blu009","9","Closet","A very modest recessed space used for storage. This particular closet is favored by the junior members of the staff, who utilize it to stash away assorted articles and knicknacks whose proper place in the estate is yet unknown to them.","","","Commonplace","Blueprint, DeadEnd","0","item:gem, item:coin, item:ivoryDice, item:keycard, item:silverKey, item:sleepingMask, item:metalDetector, item:runningShoes, item:luckyRabbitsFoot","","","","","0","","","Found","","","","","","","room:blu009:Closet"
"blu010","10","Walk In Closet","The stylish and smart clothes in this generously sized closet belong to the former Mistress of the estate, Lady Epsen. Though the small dressing room has not been used in many years, it is nevertheless kept up and preserved in the state you now find it. ","","","Standard","Blueprint, DeadEnd","1","item:gem, item:coin, item:key, item:couponBook, item:keycard, item:runningShoes, item:salt, item:sleepingMask, item:cupcake","","","","","0","Pawn, B","","Outer","","","","","","","room:blu010:Walk In Closet"
